Date,WakeUp,Sleep,Type,Category,TimeSlot,Title,Location,MapLink,Details,ConfNo,Cost,TicketLink,City,Tags
,,,Bank,Food,,Café Nook,,"https://www.google.com/maps/search/?api=1&query=Caf%C3%A9+Nook+45.5214705,-73.5770756",Category: — Neighborhood: — Description: — Address:,,,,Montreal,food
,,,Bank,Food,,Elena / Pizzeria Elena,"Pizzeria Elena, 1169 Rue Ottawa, Montreal",https://maps.google.com/?q=Pizzeria+Elena+1169+Rue+Ottawa+Montreal,Easy pizza option for arrival night or a casual order. Griffintown slices and whole pies; verify same-day hours before relying on it for a late landing.,,,https://pizzeriaelena.com/,Montreal,food|pizza|arrival|snacks
,,,Bank,Activity,,Jardin botanique de Montréal,,"https://www.google.com/maps/search/?api=1&query=Jardin+botanique+de+Montr%C3%A9al+45.5592018,-73.5576932",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Food,,Jean Talon Market,,"https://www.google.com/maps/search/?api=1&query=Jean+Talon+Market+45.5361095,-73.6148902",Flexible activity idea from the Montreal map bank.,,,,Montreal,food|casual
,,,Bank,Activity,,Lachine Canal National Historic Site,,"https://www.google.com/maps/search/?api=1&query=Lachine+Canal+National+Historic+Site+45.4943138,-73.5522147",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Activity,,MEM - Centre des mémoires montréalaises,,"https://www.google.com/maps/search/?api=1&query=MEM+-+Centre+des+m%C3%A9moires+montr%C3%A9alaises+45.5092538,-73.5631723",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Activity,,Montreal Biodome,,"https://www.google.com/maps/search/?api=1&query=Montreal+Biodome+45.5596036,-73.5505972",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Activity,,Montreal Museum of Archaeology and History,,"https://www.google.com/maps/search/?api=1&query=Montreal+Museum+of+Archaeology+and+History+45.5026511,-73.5541668",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Activity,,Montreal Museum of Fine Arts,,"https://www.google.com/maps/search/?api=1&query=Montreal+Museum+of+Fine+Arts+45.4985219,-73.5794001",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Activity,,Montreal Science Centre,,"https://www.google.com/maps/search/?api=1&query=Montreal+Science+Centre+45.5047874,-73.5507431",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Activity,,Olympic Park Esplanade,,"https://www.google.com/maps/search/?api=1&query=Olympic+Park+Esplanade+45.5558642,-73.5524026",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Activity,,Parc Jean-Drapeau,,"https://www.google.com/maps/search/?api=1&query=Jean-Drapeau+45.5124643,-73.5331452","Flexible island park option: green space, public art, river views, and family-friendly wandering.",,,,Montreal,
,,,Bank,Food,,Pizza Dany,"Pizza Dany, 1237 Rue de la Montagne, Montreal",https://maps.google.com/?q=Pizza+Dany+1237+Rue+de+la+Montagne+Montreal,"Downtown late-night slice option near the Bell Centre. Good for a simple post-arrival snack or group pizza order; hours often run late, but verify before sending anyone out.",,,https://www.themain.com/place/pizza-dany,Montreal,food|pizza|late-night|snacks
,,,Bank,Activity,,Planetarium,,"https://www.google.com/maps/search/?api=1&query=Planetarium+45.560737,-73.5504345",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Food,,Sofitel room service,Sofitel Montreal Golden Mile,https://maps.google.com/?q=Sofitel+Montreal+Golden+Mile,"Low-effort fallback if Friday arrival runs late. Sofitel lists overnight room service for late-night snacks, with standard service and floor charges.",,,https://www.sofitel-montreal.com/en/restaurant/room-service/,Montreal,food|late-night|hotel|room-service|snacks
