Date,WakeUp,Sleep,Type,Category,TimeSlot,Title,Location,MapLink,Details,ConfNo,Cost,TicketLink,City,Tags
,,,Bank,Activity,,Pantheon,,"https://www.google.com/maps/search/?api=1&query=Pantheon+41.8986108,12.4768729",,,,,Rome,
,,,Bank,Food,,Piazza Navona & Fontana dei Quattro Fiumi,,"https://www.google.com/maps/search/?api=1&query=Piazza+Navona+%26+Fontana+dei+Quattro+Fiumi+41.8991633,12.4730742",This is beautiful to walk through in day time. Our recommendation would be to pair this stop with dinner/cocktails nearby and view illuminated at night! Admire Fountain of the Moor and Neptune Fountain.,,,,Rome,evening|food|view
,,,Bank,Activity,,Campo de' Fiori,,"https://www.google.com/maps/search/?api=1&query=Campo+de%27+Fiori+41.8956045,12.4721757",,,,,Rome,
,,,Bank,Activity,,Galleria Sciarra,,"https://www.google.com/maps/search/?api=1&query=Galleria+Sciarra+41.8999403,12.4820553","*Hidden Gem* -- FREE. It is a public, covered pedestrian passageway featuring Liberty-style frescoes and a glass & iron roof dating to the late 19th century. Usually accessible between 9am-6pm M-F.",,,,Rome,
,,,Bank,Activity,,"V. dei Coronari, 100",,"https://www.google.com/maps/search/?api=1&query=V.+dei+Coronari%2C+100+41.9004953,12.4687473","*Wander* -- One of the most beautiful streets in Rome, lined with antique shops and historic palazzi. A lovely place to wander slowly.",,,,Rome,
,,,Bank,Activity,,St. Angelo Bridge,,"https://www.google.com/maps/search/?api=1&query=St.+Angelo+Bridge+41.901901,12.4664498",*View* -- Walk onto the bridge for one of the most iconic views in Rome: St. Peter’s Basilica perfectly framed down the river. Great sunset spot. Admire Bernini angel statues on the bridge.,,,,Rome,evening|view
,,,Bank,Food,,Chiostro del Bramante,,"https://www.google.com/maps/search/?api=1&query=Chiostro+del+Bramante+41.9000087,12.4715909","A peaceful Renaissance courtyard + rooftop café terrace overlooking the city. Admire the beautiful architecture, enjoy rotating art exhibits, rejoice in the calm from the crowds, grab a coffee and take in the view.",,,,Rome,food|view
,,,Bank,Activity,,Fontana del Mascherone,,"https://www.google.com/maps/search/?api=1&query=Fontana+del+Mascherone+41.8938904,12.4702247",,,,,Rome,
,,,Bank,Activity,,Arch of Constantine,,"https://www.google.com/maps/search/?api=1&query=Arch+of+Constantine+41.8898113,12.4906782",,,,,Rome,
,,,Bank,Activity,,Clivo di Scauro,,"https://www.google.com/maps/search/?api=1&query=Clivo+di+Scauro+41.8864665,12.4906612","This diminutive street may have begun as a track during the Stone Age, making it already thousands of years old when Rome began in the eighth century BCE. Today the Clivo di Scauro runs from the base of the Palatine Hill up to the top of the Caelian Hill.",,,,Rome,
,,,Bank,Activity,,Arch of Dolabella and Silanus,,"https://www.google.com/maps/search/?api=1&query=Arch+of+Dolabella+and+Silanus+41.8856165,12.4951927",,,,,Rome,
,,,Bank,Activity,,Villa Celimontana,,"https://www.google.com/maps/search/?api=1&query=Villa+Celimontana+41.883861,12.4952118",,,,,Rome,
,,,Bank,Activity,,Fountain Square St. Eustace,,"https://www.google.com/maps/search/?api=1&query=Fountain+Square+St.+Eustace+41.8985388,12.4747275",,,,,Rome,
,,,Bank,Activity,,Fountain of the Books,,"https://www.google.com/maps/search/?api=1&query=Fountain+of+the+Books+41.8984341,12.4741563",,,,,Rome,reservation
,,,Bank,Activity,,Fontana del Pantheon,,"https://www.google.com/maps/search/?api=1&query=Fontana+del+Pantheon+41.8993212,12.4767522",,,,,Rome,
,,,Bank,Activity,,Fontana di Piazza Farnese,,"https://www.google.com/maps/search/?api=1&query=Fontana+di+Piazza+Farnese+41.895028,12.4714304",,,,,Rome,
,,,Bank,Activity,,Fountain of the Porter,,"https://www.google.com/maps/search/?api=1&query=Fountain+of+the+Porter+41.8983217,12.4813881",The Fontanella del Facchino is also one of Rome's six 'talking' statues.,,,,Rome,
,,,Bank,Activity,,Statua di Pasquino,,"https://www.google.com/maps/search/?api=1&query=Statua+di+Pasquino+41.8977707,12.4723306","Rome’s most famous ""talking statue,"" a battered 3rd-century BCE marble sculpture located in Piazza Pasquino near Piazza Navona. Since the 16th century, anonymous satirical poems, or ""pasquinades,"" targeting authorities and popes were attached to it, making it a historic, unconventional voice of political dissent for the Roman people.",,,,Rome,
,,,Bank,Activity,,Madama Lucrezia,,"https://www.google.com/maps/search/?api=1&query=Madama+Lucrezia+41.8957193,12.4813049","Madama Lucrezia is one of the six ""talking statues"" of Rome. Pasquinades — irreverent satires poking fun at public figures — were posted beside each of the statues from the 16th century onwards, written as if spoken by the statue, largely in answer to the verses posted at the sculpture called ""Pasquino""",,,,Rome,
,,,Bank,Activity,,Statua Abate Luigi,,"https://www.google.com/maps/search/?api=1&query=Statua+Abate+Luigi+41.8960497,12.4746168","Abbot Luigi is one of the talking statues of Rome. Like the other five ""talking statues"", pasquinades – irreverent satires poking fun at public figures – were posted beside Abate Luigi. The statue is a late Roman sculpture of a standing man in a toga, probably a senior magistrate.",,,,Rome,
,,,Bank,Activity,,Fontana del Babuino,,"https://www.google.com/maps/search/?api=1&query=Fontana+del+Babuino+41.9077652,12.4796353","The Babuino is one of the talking statues of Rome, Italy. The fountain is situated in front of the Canova Tadolini Museum, in via del Babuino.",,,,Rome,
,,,Bank,Activity,,Colosseum,,"https://www.google.com/maps/search/?api=1&query=Colosseum+41.8902102,12.4922309",,,,,Rome,
,,,Bank,Activity,,Domus Aurea,,"https://www.google.com/maps/search/?api=1&query=Domus+Aurea+41.8910517,12.4952136","Nero’s buried golden palace. If tours are available during your visit, it’s one of Rome’s most unique archaeological experiences. Also... it's an unofficial cat sanctuary.",,,,Rome,
,,,Bank,Activity,,Palatine Hill,,"https://www.google.com/maps/search/?api=1&query=Palatine+Hill+41.8886559,12.4875481","According to legend, this is where Romulus founded Rome in 753 BC. The hill later became home to imperial palaces with sweeping views over the Roman Forum.",,,,Rome,view
,,,Bank,Activity,,Roman Forum,,"https://www.google.com/maps/search/?api=1&query=Roman+Forum+41.8920906,12.4864378","Walk along Via dei Fori Imperiali for incredible views across the ruins of temples, basilicas, and government buildings that formed the political center of Ancient Rome.",,,,Rome,view
,,,Bank,Activity,,Capitoline Hill,,"https://www.google.com/maps/search/?api=1&query=Capitoline+Hill+41.8932621,12.4828652",Walk up Michelangelo’s famous staircase.,,,,Rome,
,,,Bank,Activity,,Piazzale Caffarelli,,"https://www.google.com/maps/search/?api=1&query=Piazzale+Caffarelli+41.892674,12.4815119",Walk to the terrace behind the Capitoline Museums for one of the most breathtaking views across the Roman Forum and Palatine Hill.,,,,Rome,view
,,,Bank,Activity,,Giardino degli Aranci,,"https://www.google.com/maps/search/?api=1&query=Giardino+degli+Aranci+41.8851338,12.48039","Secret garden with panoramic city views over the Tiber and St. Peter’s Basilica. One of the most magical views in Rome. Orange trees, fragrant in spring (perfect for April/May). Stop by the keyhole of the Knights of Malta for a perfectly framed view of St. Peter’s.",,,,Rome,evening|view
,,,Bank,Activity,,Roseto comunale,,"https://www.google.com/maps/search/?api=1&query=Roseto+comunale+41.8851711,12.4833837","Public garden in Rome, Italy, located opposite the Circus Maximus on the Aventine Hill. The park was established in 1931. Over 1100 varieties of roses are grown there, many of them gifts from countries around the world.",,,,Rome,
,,,Bank,Activity,,Circus Maximus,,"https://www.google.com/maps/search/?api=1&query=Circus+Maximus+41.8858762,12.4857578",,,,,Rome,
,,,Bank,Activity,,Keyhole of the Order of Malta,,"https://www.google.com/maps/search/?api=1&query=Keyhole+of+the+Order+of+Malta+41.8829829,12.4784752",Small circular keyhole in a massive wooden door frames St. Peter’s Basilica perfectly,,,,Rome,
,,,Bank,Activity,,Farnese Gardens,,"https://www.google.com/maps/search/?api=1&query=Farnese+Gardens+41.8902397,12.4865154","Europe's first private botanical gardens created in the 16th century. Enjoy terraced Renaissance gardens overlooking the Roman Forum, Cypress trees, roses, citrus, and quiet pathways, and historic garden design with views of the Forum and Colosseum.",,,,Rome,view
,,,Bank,Activity,,Santa Cecilia in Trastevere,,"https://www.google.com/maps/search/?api=1&query=Santa+Cecilia+in+Trastevere+41.8875482,12.4759469",Peaceful courtyard hidden from the main flow of tourists.,,,,Rome,
,,,Bank,Activity,,Botanical Garden of Rome,,"https://www.google.com/maps/search/?api=1&query=Botanical+Garden+of+Rome+41.8923247,12.4628307",Hidden botanical garden on the slope below Janiculum.,,,,Rome,
,,,Bank,Activity,,Ponte Sisto,,"https://www.google.com/maps/search/?api=1&query=Ponte+Sisto+41.8920946,12.4703438",Best pedestrian bridge in Rome,,,,Rome,
,,,Bank,Activity,,Piazza di Santa Maria in Trastevere,,"https://www.google.com/maps/search/?api=1&query=Piazza+di+Santa+Maria+in+Trastevere+41.8894159,12.4702151",,,,,Rome,
,,,Bank,Activity,,Fontana dell'Acqua Paola,,"https://www.google.com/maps/search/?api=1&query=Fontana+dell%27Acqua+Paola+41.8888422,12.4642556","One of the most cinematic viewpoints in Rome. The fountain itself is stunning, but the view over the city is unforgettable.",,,,Rome,view
,,,Bank,Activity,,Janiculum Hill,,"https://www.google.com/maps/search/?api=1&query=Janiculum+Hill+41.8914697,12.4613942","Be here at golden hour if possible. This is the best panoramic viewpoint in Rome. You'll see St. Peter’s Basilica, the Pantheon dome, and endless terracotta rooftops.",,,,Rome,view
,,,Bank,Activity,,Giuseppe Garibaldi Monument,,"https://www.google.com/maps/search/?api=1&query=Giuseppe+Garibaldi+Monument+41.8914715,12.460788",,,,,Rome,
,,,Bank,Food,,Glass Hostaria,,"https://www.google.com/maps/search/?api=1&query=Glass+Hostaria+41.8905173,12.4691609",1 Michelin. Woman chef. Contemporary Italian cuisine w/ vegetarian options. Can accommodate GF needs.,,,,Rome,food|splurge
,,,Bank,Food,,Cimarra 4 Pizzeria & Cocktail Bar (anche Senza Glutine),,"https://www.google.com/maps/search/?api=1&query=Cimarra+4+Pizzeria+%26+Cocktail+Bar+%28anche+Senza+Glutine%29+41.8961433,12.4905881","GF menu + Veggy friendly. Cimarra 4 combines the rich traditions of Roman pizza with a modern twist, offering a comprehensive menu that caters to those with food restrictions.",,,,Rome,food
,,,Bank,Activity,,La Pasticciera,,"https://www.google.com/maps/search/?api=1&query=La+Pasticciera+41.9022722,12.5060777",GF bakery a few minutes walking distance from Termini station in Rome.,,,,Rome,
,,,Bank,Food,,Mama Eat Roma,,"https://www.google.com/maps/search/?api=1&query=Mama+Eat+Roma+41.888408,12.4705764",GF pizza (multiple locations in Rome; 1 location in Florence),,,,Rome,food
,,,Bank,Food,,Mama Eat - Roma Vaticano,,"https://www.google.com/maps/search/?api=1&query=Mama+Eat+-+Roma+Vaticano+41.9036353,12.4618544",GF pizza (multiple locations in Rome; 1 location in Florence),,,,Rome,food
,,,Bank,Food,,Mama Eat - Roma Ponte Milvio,,"https://www.google.com/maps/search/?api=1&query=Mama+Eat+-+Roma+Ponte+Milvio+41.9372685,12.4674594",GF pizza (multiple locations in Rome; 1 location in Florence),,,,Rome,food
,,,Bank,Activity,,Armando al Pantheon,,"https://www.google.com/maps/search/?api=1&query=Armando+al+Pantheon+41.8990932,12.4762429","Stanley Tucci came here for pasta, right by Pantheon (normally wouldn't recommend place near touristy area, but this place does seem legit)",,,,Rome,
,,,Bank,Food,,Ristoro degli Angeli,,"https://www.google.com/maps/search/?api=1&query=Ristoro+degli+Angeli+41.8626743,12.4848143","GF tiramisu, fried zucchini blossoms stuffed with mozzarella and anchovies, and coated in a rice-flour-based tempura batter.",,,,Rome,food
,,,Bank,Activity,,Pantha Rei,,"https://www.google.com/maps/search/?api=1&query=Pantha+Rei+41.8984739,12.4777718",Pretty much everything can be made GF and multiple pasta type options. GF ravioli. GF focaccia. GF tiramisu.,,,,Rome,
,,,Bank,Activity,,Jerry Thomas Speakeasy,,"https://www.google.com/maps/search/?api=1&query=Jerry+Thomas+Speakeasy+41.8979544,12.4679131",,,,,Rome,
,,,Bank,Activity,,The Race Club,,"https://www.google.com/maps/search/?api=1&query=The+Race+Club+41.8894335,12.5008724",,,,,Rome,
,,,Bank,Food,,The Court Bar. Palazzo Manfredi,,"https://www.google.com/maps/search/?api=1&query=The+Court+Bar.+Palazzo+Manfredi+41.8901572,12.4955595",For view of the Colosseum,,,,Rome,food|view
,,,Bank,Food,,Ai Tre Scalini,,"https://www.google.com/maps/search/?api=1&query=Ai+Tre+Scalini+41.8962822,12.4905105","Classic eatery with a warmly decorated interior serving pasta & meat plates, plus a large wine list. Written up in Conde Nast Traveler -- great, classic Rome feel and wine list.",,,,Rome,food
,,,Bank,Food,,Il Goccetto,,"https://www.google.com/maps/search/?api=1&query=Il+Goccetto+41.8977936,12.4673106",Sharing plates & a long global wine list at a polished bar with vintage features & racks of bottles.,,,,Rome,food
,,,Bank,Food,,Gelateria La Romana dal 1947,,"https://www.google.com/maps/search/?api=1&query=Gelateria+La+Romana+dal+1947+41.8966936,12.4741213",,,,,Rome,food
,,,Bank,Activity,,Frigidarium,,"https://www.google.com/maps/search/?api=1&query=Frigidarium+41.8982333,12.4704548",,,,,Rome,
,,,Bank,Food,,Gelateria del Teatro,,"https://www.google.com/maps/search/?api=1&query=Gelateria+del+Teatro+41.9004943,12.4694946",,,,,Rome,food
,,,Bank,Activity,,Torcè,,"https://www.google.com/maps/search/?api=1&query=Torc%C3%A8+41.8814305,12.4857652",,,,,Rome,
,,,Bank,Activity,,Barnum Roma,,"https://www.google.com/maps/search/?api=1&query=Barnum+Roma+41.8970566,12.469997",,,,,Rome,
,,,Bank,Food,,Roscioli Caffè Pasticceria,,"https://www.google.com/maps/search/?api=1&query=Roscioli+Caff%C3%A8+Pasticceria+41.8941457,12.4744403",,,,,Rome,food
,,,Bank,Activity,,Boccione,,"https://www.google.com/maps/search/?api=1&query=Boccione+41.8932248,12.4768899",Compact kosher bakery serving Jewish-Roman-style 'pizza' & traditional cakes & tarts.,,,,Rome,
,,,Bank,Food,,Regoli Pasticceria,,"https://www.google.com/maps/search/?api=1&query=Regoli+Pasticceria+41.8948172,12.5009492","Century-old, family-owned shop with arched ceilings, selling classic creme-based pastries & tarts.",,,,Rome,food
,,,Bank,Food,,Forno Conti & Co.,,"https://www.google.com/maps/search/?api=1&query=Forno+Conti+%26+Co.+41.8923598,12.5031327","Forno Conti & Co is a small, minimalist bakery near the Colosseum. Coffee is sourced from a local roaster.",,,,Rome,food
,,,Bank,Food,,Il forno degli Amici Roma,,"https://www.google.com/maps/search/?api=1&query=Il+forno+degli+Amici+Roma+41.9023773,12.4941067","Known for creative flavor combos like sun-dried tomato and toasted hazelnut bread, turmeric, lemon, and ginger loaves, and crunchy, airy pizzas stacked with shredded pork and potato. The chewy almond cookie with pistachio cream is recommended, and the brutti ma buoni—“ugly but good” cookies.",,,,Rome,food
,,,Bank,Activity,,Stella d'Italia,,"https://www.google.com/maps/search/?api=1&query=Stella+d%27Italia+43.7708599,11.2512704",,,,,Florence,
,,,Bank,Activity,,Cathedral of Santa Maria del Fiore,,"https://www.google.com/maps/search/?api=1&query=Cathedral+of+Santa+Maria+del+Fiore+43.7728583,11.2556932",,,,,Florence,
,,,Bank,Activity,,Badia Fiorentina - Monastero,,"https://www.google.com/maps/search/?api=1&query=Badia+Fiorentina+-+Monastero+43.7704424,11.2576702",free to enter — stunning interior — often nearly empty,,,,Florence,morning
,,,Bank,Activity,,Basilica di San Miniato,,"https://www.google.com/maps/search/?api=1&query=Basilica+di+San+Miniato+43.7594184,11.2649796",,,,,Florence,
,,,Bank,Activity,,Piazzale Michelangelo,,"https://www.google.com/maps/search/?api=1&query=Piazzale+Michelangelo+43.7629314,11.2650561",,,,,Florence,
,,,Bank,Activity,,Boboli Gardens,,"https://www.google.com/maps/search/?api=1&query=Boboli+Gardens+43.7624972,11.2483996",,,,,Florence,
,,,Bank,Activity,,Giardino Bardini,,"https://www.google.com/maps/search/?api=1&query=Giardino+Bardini+43.7633184,11.2570423",,,,,Florence,
,,,Bank,Activity,,Ponte Vecchio,,"https://www.google.com/maps/search/?api=1&query=Ponte+Vecchio+43.767925,11.2531435",,,,,Florence,
,,,Bank,Activity,,Piazza della Signoria,,"https://www.google.com/maps/search/?api=1&query=Piazza+della+Signoria+43.7696855,11.2556422",,,,,Florence,
,,,Bank,Food,,Risotteria Melotti Firenze,,"https://www.google.com/maps/search/?api=1&query=Risotteria+Melotti+Firenze+43.7752148,11.2590214",,,,,Florence,food
,,,Bank,Food,,Mama Eat,,"https://www.google.com/maps/search/?api=1&query=Mama+Eat+43.7701309,11.2589107",GF pizza,,,,Florence,food
,,,Bank,Food,,Gustapanino,,"https://www.google.com/maps/search/?api=1&query=Gustapanino+43.7667994,11.2480126","Charming, compact trattoria with an old-world feel & lively terrace on the square.",,,,Florence,food
,,,Bank,Food,,Enoteca Pitti Gola e Cantina,,"https://www.google.com/maps/search/?api=1&query=Enoteca+Pitti+Gola+e+Cantina+43.7660918,11.2500634",An extensive cellar of Tuscan wines paired with regional dishes on a terrace opposite Palazzo Pitti.,,,,Florence,food
,,,Bank,Food,,Osteria dei Leoni Firenze,,"https://www.google.com/maps/search/?api=1&query=Osteria+dei+Leoni+Firenze+43.7687017,11.2570069",,,,,Florence,food
,,,Bank,Food,,Osteria dello Sgrano glutenfree,,"https://www.google.com/maps/search/?api=1&query=Osteria+dello+Sgrano+glutenfree+43.7683066,11.2600798",GF,,,,Florence,food
,,,Bank,Food,,Antica Gelateria Fiorentina,,"https://www.google.com/maps/search/?api=1&query=Antica+Gelateria+Fiorentina+43.7752824,11.2525742",GF cones - gelato shop,,,,Florence,food
,,,Bank,Food,,Le Volpi e l'Uva,,"https://www.google.com/maps/search/?api=1&query=Le+Volpi+e+l%27Uva+43.7669987,11.2528281","Snug bar with sidewalk tables for charcuterie & cheeses, plus a long list of wines by the glass. Wine from all over Italy, including some local varietals.",,,,Florence,food
,,,Bank,Food,,Brac,,"https://www.google.com/maps/search/?api=1&query=Brac+43.7676658,11.2582578","The ""bookstore with a kitchen"" concept, a novelty in the city, blends the stories and passions of owners Sacha and Melisa: an imaginative chef specializing in vegetarian and vegan cuisine with a love of comics and illustration, and a bibliophile with an interest in contemporary art in all its forms (art, theater, dance, film, photography).",,,,Florence,food|reservation
,,,Bank,Food,,5ecinque,,"https://www.google.com/maps/search/?api=1&query=5ecinque+43.767329,11.250413","Natural Vegetarian Cuisine. Our cuisine is based on the careful search for organic and natural raw materials , strictly seasonal , which come mostly from the surrounding area and from our garden. We make everything by hand: from filled pastries to savory pies, from focaccias to flans, from desserts to biscotti, from jams to mustards.",,,,Florence,food
,,,Bank,Food,,ORA - Ristorante Vegetariano,,"https://www.google.com/maps/search/?api=1&query=ORA+-+Ristorante+Vegetariano+43.7810199,11.2569268","Creative vegetarian cuisine pairs with regional wines in a colorful, modern space with a terrace. Vegetarian and GF food.",,,,Florence,food
,,,Bank,Food,,il Mercato Centrale Firenze,,"https://www.google.com/maps/search/?api=1&query=il+Mercato+Centrale+Firenze+43.7764676,11.2528338",Tons of specialty food and quick meal vendors.,,,,Florence,food
,,,Bank,Food,,BABAE,,"https://www.google.com/maps/search/?api=1&query=BABAE+43.7687903,11.2473846",Popular wine window,,,,Florence,food
,,,Bank,Food,,Osteria Belle Donne,,"https://www.google.com/maps/search/?api=1&query=Osteria+Belle+Donne+43.7721157,11.2507037",Wine window,,,,Florence,food
,,,Bank,Food,,Cantina De' Pucci (Restaurant & Wine Window / Buchetta del Vino),,"https://www.google.com/maps/search/?api=1&query=Cantina+De%27+Pucci+%28Restaurant+%26+Wine+Window+%2F+Buchetta+del+Vino%29+43.774332,11.2573807","Wine window (and apparently a great restaurant, too)",,,,Florence,food
,,,Bank,Food,,Il Latini,,"https://www.google.com/maps/search/?api=1&query=Il+Latini+43.7716158,11.2493335",Wine window,,,,Florence,food
,,,Bank,Food,,Saporium Lounge,,"https://www.google.com/maps/search/?api=1&query=Saporium+Lounge+43.764534,11.265766",Elevated cocktail and tapas lounge with some ingredients sourced from their own farm.,,,,Florence,food
,,,Bank,Food,,Rasputin,,"https://www.google.com/maps/search/?api=1&query=Rasputin+43.7663497,11.248064","""Secret"" cocktail bar. 'At first sight it looks like the cave of a magician, an aristocratic and obscure place like the underground where the Siberian mystic who gives his name to the place found his end.'",,,,Florence,food
,,,Bank,Food,,Coffee Mantra,,"https://www.google.com/maps/search/?api=1&query=Coffee+Mantra+43.7712988,11.2679341","Located in a cozy corner store that mixes the classic Italian café atmosphere with specialty-coffee culture. The café is tiny. A small counter, a high table, and two outdoor benches are perfect for people-watching.",,,,Florence,food
,,,Bank,Food,,FLUID - Specialty Coffee & Sharing,,"https://www.google.com/maps/search/?api=1&query=FLUID+-+Specialty+Coffee+%26+Sharing+43.7711801,11.2682498","Fluid is a collaborative project created by Le Piantagioni del Caffè, a roasting company based in nearby Livorno. Fluid offers its coffee prepared according to traditional methods, but with a modern twist: A Poursteady station is available to be used by customers.",,,,Florence,food
,,,Bank,Food,,Melaleuca Florence Bakery +Bistrot | Brunch & Specialty Coffee,,"https://www.google.com/maps/search/?api=1&query=Melaleuca+Florence+Bakery+%2BBistrot+%7C+Brunch+%26+Specialty+Coffee+43.7668378,11.2600596","Coffee roasted locally. Melaleuca welcomes its customers with a delicious menu that mixes brunch classics (always made with fresh, local ingredients) with homemade cakes and pastries inspired by global cuisine. Great view of the river.",,,,Florence,food|view
,,,Bank,Food,,Ditta Artigianale Riva d'Arno,,"https://www.google.com/maps/search/?api=1&query=Ditta+Artigianale+Riva+d%27Arno+43.7697128,11.2464655","Ditta Artigianale is an Italian specialty coffee roaster founded in Florence in 2013. It combines the international coffee bar model with artisanal roasting, aiming to promote high-quality coffee from traceable supply chains.",,,,Florence,food
,,,Bank,Activity,,Giunti Odeon - Cinema,,"https://www.google.com/maps/search/?api=1&query=Giunti+Odeon+-+Cinema+43.7709923,11.25249",Go here! It’s actually a bookshop and cinema inside of an old theatre. You can find a table on the second floor in the gallery and log on to their public network (no password or purchase required).,,,,Florence,reservation
,,,Bank,Activity,,Venissa,,"https://www.google.com/maps/search/?api=1&query=Venissa+45.4885406,12.4109424","Elegant Venetian dishes with area-sourced ingredients at a stylish canalside stop, plus a vineyard.",,,,Venice,
,,,Bank,Food,,Ristorantino Al Museo,,"https://www.google.com/maps/search/?api=1&query=Ristorantino+Al+Museo+45.4845409,12.4191504",Traditional Venice Food Restaurant. Available for lunch with authentic Veneto cuisine & wines. We offer the best Of Burano homemade cooking - fresh pasta prepared daily by our Venetian chef.,,,,Venice,food
,,,Bank,Food,,Ristorante La Fornace,,"https://www.google.com/maps/search/?api=1&query=Ristorante+La+Fornace+45.4514639,12.3498896",Lagoon views and local wine,,,,Venice,food|view
,,,Bank,Food,,Chez Rami Osteria Santa Giustina,,"https://www.google.com/maps/search/?api=1&query=Chez+Rami+Osteria+Santa+Giustina+45.4385241,12.345385",Great for a light lunch or afternoon snack/glass of vino. Friendly shop owner and staff. Snag a table outside and watch the local life of Venice walk through this tiny square.,,,,Venice,food
,,,Bank,Food,,Hostaria da Franz,,"https://www.google.com/maps/search/?api=1&query=Hostaria+da+Franz+45.4355022,12.3467955","Old-fashioned destination offering a range of traditional seafood & meat dishes. he fish, fruit, and vegetables arrive daily from Venetian markets, fully respecting the seasonality and rhythm of the lagoon. Located in a former rope factory.",,,,Venice,food
,,,Bank,Food,,Taverna Scalinetto - Ristorante,,"https://www.google.com/maps/search/?api=1&query=Taverna+Scalinetto+-+Ristorante+45.4342802,12.3463919","Polished restaurant with a nautical vibe serving upscale seafood, pasta & meat dishes. Menu changes periodically based on seasonality of the products.",,,,Venice,food
,,,Bank,Food,,Gelateria Gallonetto,,"https://www.google.com/maps/search/?api=1&query=Gelateria+Gallonetto+45.437232,12.3393162",Artisanal gelato,,,,Venice,food
,,,Bank,Food,,Gelateria il Doge,,"https://www.google.com/maps/search/?api=1&query=Gelateria+il+Doge+45.4338559,12.3240379",Award winning gelato,,,,Venice,food
